Classifier Pair,Accuracy,Recall,Precision,F1,AUC
"('0-30', '31-60')",0.8027041728184008,0.7920715718031776,0.8117293708504584,0.8017799984385978,0.8027849246425848
"('0-30', '61-90')",0.9440750615950589,0.6697674418604651,0.8988173455978975,0.7675690840230047,0.8288549079017328
"('0-30', 'max')",0.987699563430101,0.9374678773342471,0.9961769524849808,0.9659311562224183,0.9683228832333622
"('31-60', '61-90')",0.9345037811906586,0.617625458996328,0.8619747181414418,0.719623502567028,0.8010231259195738
"('31-60', 'max')",0.9888255846894771,0.9451773171149563,0.9936959654178674,0.9688295723944156,0.9719138166632935
"('61-90', 'max')",0.9954646240677283,0.9982867911598424,0.994029341521665,0.9961535173946492,0.994859429851647
micro averaged scores,0.9422121312985707,0.8267327430448361,0.9260706156690518,0.8699811385066856,0.8946265147020324
