Classifier Pair,Accuracy,Recall,Precision,F1,AUC
"('0-30', '31-60')",0.5529,0.5709,0.5536,0.5621,0.5528
"('0-30', '61-90')",0.8641,0.0,0.0,0.0,0.5
"('0-30', 'max')",0.9729,0.8999,0.9537,0.926,0.9449
"('31-60', '61-90')",0.8653,0.0,0.0,0.0,0.5
"('31-60', 'max')",0.9608,0.8281,0.9558,0.8874,0.9097
"('61-90', 'max')",0.9305,0.9324,0.95,0.9411,0.93
Avg,0.8578,0.5385,0.5689,0.5528,0.7229
